,Survived,Pclass,Sex,Age,Fare,Embarked,Loc,GroupSize
389,1,2,female,17.0,12.0,C,X,1
390,1,1,male,36.0,120.0,S,B,4
391,1,3,male,21.0,7.7958,S,X,1
392,0,3,male,28.0,7.925,S,X,3
393,1,1,female,23.0,113.275,C,D,2
394,1,3,female,24.0,16.7,S,G,3
395,0,3,male,22.0,7.7958,S,X,1
396,0,3,female,31.0,7.8542,S,X,1
397,0,2,male,46.0,26.0,S,X,1
398,0,2,male,23.0,10.5,S,X,1
399,1,2,female,28.0,12.65,S,X,1
400,1,3,male,39.0,7.925,S,X,1
401,0,3,male,26.0,8.05,S,X,1
402,0,3,female,21.0,9.825,S,X,2
403,0,3,male,28.0,15.85,S,X,2
404,0,3,female,20.0,8.6625,S,X,1
405,0,2,male,34.0,21.0,S,X,2
406,0,3,male,51.0,7.75,S,X,1
407,1,2,male,3.0,18.75,S,X,3
408,0,3,male,21.0,7.775,S,X,1
409,0,3,female,28.0,25.4667,S,X,5
410,0,3,male,28.0,7.8958,S,X,1
411,0,3,male,28.0,6.8583,Q,X,1
412,1,1,female,33.0,90.0,Q,C,2
413,0,2,male,28.0,0.0,S,X,1
414,1,3,male,44.0,7.925,S,X,1
415,0,3,female,28.0,8.05,S,X,1
416,1,2,female,34.0,32.5,S,X,3
417,1,2,female,18.0,13.0,S,X,3
418,0,2,male,30.0,13.0,S,X,1
419,0,3,female,10.0,24.15,S,X,3
420,0,3,male,28.0,7.8958,C,X,1
421,0,3,male,21.0,7.7333,Q,X,1
422,0,3,male,29.0,7.875,S,X,1
423,0,3,female,28.0,14.4,S,X,3
424,0,3,male,18.0,20.2125,S,X,3
425,0,3,male,28.0,7.25,S,X,1
426,1,2,female,28.0,26.0,S,X,2
427,1,2,female,19.0,26.0,S,X,1
428,0,3,male,28.0,7.75,Q,X,1
429,1,3,male,32.0,8.05,S,E,1
430,1,1,male,28.0,26.55,S,C,1
431,1,3,female,28.0,16.1,S,X,2
432,1,2,female,42.0,26.0,S,X,2
433,0,3,male,17.0,7.125,S,X,1
434,0,1,male,50.0,55.9,S,E,2
435,1,1,female,14.0,120.0,S,B,4
436,0,3,female,21.0,34.375,S,X,5
437,1,2,female,24.0,18.75,S,X,6
438,0,1,male,64.0,263.0,S,C,6
439,0,2,male,31.0,10.5,S,X,1
440,1,2,female,45.0,26.25,S,X,3
441,0,3,male,20.0,9.5,S,X,1
442,0,3,male,25.0,7.775,S,X,2
443,1,2,female,28.0,13.0,S,X,1
444,1,3,male,28.0,8.1125,S,X,1
445,1,1,male,4.0,81.8583,S,A,3
446,1,2,female,13.0,19.5,S,X,2
447,1,1,male,34.0,26.55,S,X,1
448,1,3,female,5.0,19.2583,C,X,4
449,1,1,male,52.0,30.5,S,C,1
450,0,2,male,36.0,27.75,S,X,4
451,0,3,male,28.0,19.9667,S,X,2
452,0,1,male,30.0,27.75,C,C,1
453,1,1,male,49.0,89.1042,C,C,2
454,0,3,male,28.0,8.05,S,X,1
455,1,3,male,29.0,7.8958,C,X,1
456,0,1,male,65.0,26.55,S,E,1
457,1,1,female,28.0,51.8625,S,D,2
458,1,2,female,50.0,10.5,S,X,1
459,0,3,male,28.0,7.75,Q,X,1
460,1,1,male,48.0,26.55,S,E,1
461,0,3,male,34.0,8.05,S,X,1
462,0,1,male,47.0,38.5,S,E,1
463,0,2,male,48.0,13.0,S,X,1
464,0,3,male,28.0,8.05,S,X,1
465,0,3,male,38.0,7.05,S,X,1
466,0,2,male,28.0,0.0,S,X,1
467,0,1,male,56.0,26.55,S,X,1
468,0,3,male,28.0,7.725,Q,X,1
469,1,3,female,0.75,19.2583,C,X,4
470,0,3,male,28.0,7.25,S,X,1
471,0,3,male,38.0,8.6625,S,X,1
472,1,2,female,33.0,27.75,S,X,4
473,1,2,female,23.0,13.7917,C,D,1
474,0,3,female,22.0,9.8375,S,X,1
475,0,1,male,28.0,52.0,S,A,1
476,0,2,male,34.0,21.0,S,X,2
477,0,3,male,29.0,7.0458,S,X,2
478,0,3,male,22.0,7.5208,S,X,1
479,1,3,female,2.0,12.2875,S,X,2
480,0,3,male,9.0,46.9,S,X,8
481,0,2,male,28.0,0.0,S,X,1
482,0,3,male,50.0,8.05,S,X,1
483,1,3,female,63.0,9.5875,S,X,1
484,1,1,male,25.0,91.0792,C,B,2
485,0,3,female,28.0,25.4667,S,X,5
486,1,1,female,35.0,90.0,S,C,2
487,0,1,male,58.0,29.7,C,B,1
488,0,3,male,30.0,8.05,S,X,1
489,1,3,male,9.0,15.9,S,X,3
490,0,3,male,28.0,19.9667,S,X,2
491,0,3,male,21.0,7.25,S,X,1
492,0,1,male,55.0,30.5,S,C,1
493,0,1,male,71.0,49.5042,C,X,1
494,0,3,male,21.0,8.05,S,X,1
495,0,3,male,28.0,14.4583,C,X,1
496,1,1,female,54.0,78.2667,C,D,2
497,0,3,male,28.0,15.1,S,X,1
498,0,1,female,25.0,151.55,S,C,4
499,0,3,male,24.0,7.7958,S,X,1
500,0,3,male,17.0,8.6625,S,X,1
501,0,3,female,21.0,7.75,Q,X,1
502,0,3,female,28.0,7.6292,Q,X,1
503,0,3,female,37.0,9.5875,S,X,1
504,1,1,female,16.0,86.5,S,B,1
505,0,1,male,18.0,108.9,C,C,2
506,1,2,female,33.0,26.0,S,X,3
507,1,1,male,28.0,26.55,S,X,1
508,0,3,male,28.0,22.525,S,X,1
509,1,3,male,26.0,56.4958,S,X,1
510,1,3,male,29.0,7.75,Q,X,1
511,0,3,male,28.0,8.05,S,X,1
512,1,1,male,36.0,26.2875,S,E,1
513,1,1,female,54.0,59.4,C,X,2
514,0,3,male,24.0,7.4958,S,X,1
515,0,1,male,47.0,34.0208,S,D,1
516,1,2,female,34.0,10.5,S,F,1
517,0,3,male,28.0,24.15,Q,X,1
518,1,2,female,36.0,26.0,S,X,2
519,0,3,male,32.0,7.8958,S,X,1
520,1,1,female,30.0,93.5,S,B,1
521,0,3,male,22.0,7.8958,S,X,1
522,0,3,male,28.0,7.225,C,X,1
523,1,1,female,44.0,57.9792,C,B,2
524,0,3,male,28.0,7.2292,C,X,1
525,0,3,male,40.5,7.75,Q,X,1
526,1,2,female,50.0,10.5,S,X,1
527,0,1,male,28.0,221.7792,S,C,1
528,0,3,male,39.0,7.925,S,X,1
529,0,2,male,23.0,11.5,S,X,4
530,1,2,female,2.0,26.0,S,X,3
531,0,3,male,28.0,7.2292,C,X,1
532,0,3,male,17.0,7.2292,C,X,3
533,1,3,female,28.0,22.3583,C,X,3
534,0,3,female,30.0,8.6625,S,X,1
535,1,2,female,7.0,26.25,S,X,3
536,0,1,male,45.0,26.55,S,B,1
537,1,1,female,30.0,106.425,C,X,1
538,0,3,male,28.0,14.5,S,X,1
539,1,1,female,22.0,49.5,C,B,3
540,1,1,female,36.0,71.0,S,B,3
541,0,3,female,9.0,31.275,S,X,7
542,0,3,female,11.0,31.275,S,X,7
543,1,2,male,32.0,26.0,S,X,2
544,0,1,male,50.0,106.425,C,C,2
545,0,1,male,64.0,26.0,S,X,1
546,1,2,female,19.0,26.0,S,X,2
547,1,2,male,28.0,13.8625,C,X,1
548,0,3,male,33.0,20.525,S,X,3
549,1,2,male,8.0,36.75,S,X,3
550,1,1,male,17.0,110.8833,C,C,3
551,0,2,male,27.0,26.0,S,X,1
552,0,3,male,28.0,7.8292,Q,X,1
553,1,3,male,22.0,7.225,C,X,1
554,1,3,female,22.0,7.775,S,X,1
555,0,1,male,62.0,26.55,S,X,1
556,1,1,female,48.0,39.6,C,A,2
557,0,1,male,28.0,227.525,C,X,1
558,1,1,female,39.0,79.65,S,E,3
559,1,3,female,36.0,17.4,S,X,2
560,0,3,male,28.0,7.75,Q,X,1
561,0,3,male,40.0,7.8958,S,X,1
562,0,2,male,28.0,13.5,S,X,1
563,0,3,male,28.0,8.05,S,X,1
564,0,3,female,28.0,8.05,S,X,1
565,0,3,male,24.0,24.15,S,X,3
566,0,3,male,19.0,7.8958,S,X,1
567,0,3,female,29.0,21.075,S,X,5
568,0,3,male,28.0,7.2292,C,X,1
569,1,3,male,32.0,7.8542,S,X,1
570,1,2,male,62.0,10.5,S,X,1
571,1,1,female,53.0,51.4792,S,C,3
572,1,1,male,36.0,26.3875,S,E,1
573,1,3,female,28.0,7.75,Q,X,1
574,0,3,male,16.0,8.05,S,X,1
575,0,3,male,19.0,14.5,S,X,1
576,1,2,female,34.0,13.0,S,X,1
577,1,1,female,39.0,55.9,S,E,2
578,0,3,female,28.0,14.4583,C,X,2
579,1,3,male,32.0,7.925,S,X,1
580,1,2,female,25.0,30.0,S,X,3
581,1,1,female,39.0,110.8833,C,C,3
582,0,2,male,54.0,26.0,S,X,1
583,0,1,male,36.0,40.125,C,A,1
584,0,3,male,28.0,8.7125,C,X,1
585,1,1,female,18.0,79.65,S,E,3
586,0,2,male,47.0,15.0,S,X,1
587,1,1,male,60.0,79.2,C,B,3
588,0,3,male,22.0,8.05,S,X,1
589,0,3,male,28.0,8.05,S,X,1
590,0,3,male,35.0,7.125,S,X,1
591,1,1,female,52.0,78.2667,C,D,2
592,0,3,male,47.0,7.25,S,X,1
593,0,3,female,28.0,7.75,Q,X,3
594,0,2,male,37.0,26.0,S,X,2
595,0,3,male,36.0,24.15,S,X,3
596,1,2,female,28.0,33.0,S,X,1
597,0,3,male,49.0,0.0,S,X,1
598,0,3,male,28.0,7.225,C,X,1
599,1,1,male,49.0,56.9292,C,A,2
600,1,2,female,24.0,27.0,S,X,4
601,0,3,male,28.0,7.8958,S,X,1
602,0,1,male,28.0,42.4,S,X,1
603,0,3,male,44.0,8.05,S,X,1
604,1,1,male,35.0,26.55,C,X,1
605,0,3,male,36.0,15.55,S,X,2
606,0,3,male,30.0,7.8958,S,X,1
607,1,1,male,27.0,30.5,S,X,1
608,1,2,female,22.0,41.5792,C,X,4
609,1,1,female,40.0,153.4625,S,C,1
610,0,3,female,39.0,31.275,S,X,7
611,0,3,male,28.0,7.05,S,X,1
612,1,3,female,28.0,15.5,Q,X,2
613,0,3,male,28.0,7.75,Q,X,1
614,0,3,male,35.0,8.05,S,X,1
615,1,2,female,24.0,65.0,S,X,4
616,0,3,male,34.0,14.4,S,X,3
617,0,3,female,26.0,16.1,S,X,2
618,1,2,female,4.0,39.0,S,F,4
619,0,2,male,26.0,10.5,S,X,1
620,0,3,male,27.0,14.4542,C,X,2
